Unnamed: 0.1,Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
166,166.0,78.0,housemaid,married,secondary,no,499,no,no,telephone,16,mar,80.0,4.0,-1,0.0,unknown,no
2303,2303.0,43.0,admin.,married,unknown,no,3485,no,no,unknown,18,jun,113.0,1.0,-1,0.0,unknown,no
1173,1173.0,34.0,technician,single,secondary,no,2729,yes,no,cellular,6,apr,945.0,1.0,139,1.0,success,no
677,677.0,52.0,blue-collar,married,secondary,no,60,no,yes,cellular,26,aug,196.0,2.0,-1,0.0,unknown,no
3947,3947.0,48.0,blue-collar,married,secondary,no,-19,no,yes,unknown,4,jul,270.0,1.0,-1,0.0,unknown,no
1437,1437.0,77.0,,married,tertiary,no,0,no,no,,16,oct,847.0,1.0,60,,success,yes
3701,3701.0,51.0,management,married,tertiary,no,5108,yes,no,cellular,8,oct,272.0,1.0,102,8.0,other,no
95,95.0,41.0,unknown,single,tertiary,no,1567,no,no,cellular,1,jul,291.0,2.0,-1,0.0,unknown,no
3542,3542.0,36.0,services,married,secondary,no,1746,yes,no,unknown,26,may,99.0,1.0,-1,0.0,unknown,no
2191,,48.0,management,married,tertiary,no,363,,no,cellular,18,nov,,1.0,-1,0.0,unknown,no
3106,3106.0,27.0,services,divorced,secondary,no,10,yes,no,cellular,22,jul,527.0,1.0,-1,0.0,unknown,no
3115,3115.0,39.0,,married,tertiary,no,585,yes,no,,18,nov,48.0,1.0,181,,failure,no
80,80.0,27.0,admin.,divorced,secondary,no,451,yes,no,cellular,16,jul,652.0,1.0,-1,0.0,unknown,yes
1565,1565.0,45.0,unemployed,divorced,secondary,no,728,yes,yes,cellular,18,nov,107.0,1.0,-1,0.0,unknown,no
764,764.0,28.0,services,married,secondary,no,0,yes,no,cellular,5,may,335.0,2.0,281,8.0,failure,no
152,152.0,45.0,unemployed,divorced,primary,yes,-249,yes,yes,unknown,1,jul,92.0,1.0,-1,0.0,unknown,no
1116,,28.0,management,married,tertiary,no,318,,no,unknown,27,may,,4.0,-1,0.0,unknown,no
2998,2998.0,32.0,management,single,tertiary,no,2343,no,no,cellular,18,jul,226.0,1.0,-1,0.0,unknown,no
960,960.0,52.0,technician,married,secondary,no,196,yes,yes,cellular,24,feb,116.0,1.0,273,3.0,failure,no
1084,,26.0,services,divorced,secondary,no,74,,no,unknown,23,may,,6.0,-1,0.0,unknown,no
1106,1106.0,35.0,blue-collar,,secondary,no,137,no,yes,unknown,4,oct,,,808,12.0,failure,no
2357,2357.0,30.0,student,single,secondary,no,4,no,no,cellular,4,feb,443.0,2.0,-1,0.0,unknown,no
1268,1268.0,30.0,admin.,married,secondary,no,0,no,no,cellular,15,jul,127.0,5.0,-1,0.0,unknown,no
1029,1029.0,32.0,technician,married,secondary,no,266,yes,no,cellular,19,aug,168.0,2.0,-1,0.0,unknown,no
2451,2451.0,57.0,admin.,married,secondary,no,3927,no,no,cellular,13,oct,61.0,1.0,-1,0.0,unknown,no
3375,3375.0,50.0,blue-collar,married,unknown,no,452,no,no,cellular,20,aug,181.0,2.0,-1,0.0,unknown,no
3032,3032.0,32.0,technician,divorced,secondary,no,-399,yes,no,unknown,2,jun,180.0,1.0,-1,0.0,unknown,no
4485,4485.0,53.0,blue-collar,married,primary,no,238,yes,no,cellular,11,may,238.0,2.0,361,5.0,failure,no
309,309.0,38.0,admin.,married,tertiary,no,605,no,no,cellular,18,nov,147.0,2.0,-1,0.0,unknown,no
2384,2384.0,32.0,management,married,tertiary,no,62,yes,no,cellular,14,may,166.0,1.0,-1,0.0,unknown,no
1746,1746.0,51.0,management,single,tertiary,no,2139,no,no,cellular,17,nov,176.0,2.0,-1,0.0,unknown,no
2295,2295.0,34.0,services,married,,no,0,no,,unknown,2,jul,193.0,4.0,-1,0.0,unknown,
2254,2254.0,48.0,unemployed,married,tertiary,no,-471,yes,no,unknown,19,may,668.0,7.0,-1,0.0,unknown,no
3282,3282.0,45.0,admin.,married,secondary,no,295,yes,no,cellular,23,jul,92.0,1.0,-1,0.0,unknown,no
1839,1839.0,32.0,blue-collar,married,primary,no,103,no,no,cellular,23,jul,312.0,1.0,-1,0.0,unknown,no
1800,1800.0,44.0,entrepreneur,married,tertiary,no,0,yes,no,unknown,9,jul,300.0,1.0,-1,0.0,unknown,no
1344,1344.0,28.0,management,single,secondary,no,171,no,no,cellular,10,mar,93.0,1.0,-1,0.0,unknown,yes
184,184.0,34.0,services,married,secondary,no,-62,yes,no,unknown,16,jun,109.0,3.0,-1,0.0,unknown,no
205,205.0,45.0,technician,single,tertiary,no,0,yes,no,cellular,18,nov,139.0,2.0,-1,0.0,unknown,no
410,410.0,49.0,management,married,tertiary,no,322,no,no,cellular,6,aug,72.0,4.0,-1,0.0,unknown,no
2740,2740.0,26.0,unemployed,single,secondary,no,461,no,no,cellular,28,jan,214.0,1.0,-1,0.0,unknown,no
2211,2211.0,55.0,management,divorced,tertiary,no,1598,no,no,cellular,22,aug,607.0,4.0,-1,0.0,unknown,no
3025,,38.0,management,single,tertiary,no,16957,,no,telephone,29,jan,,1.0,247,2.0,failure,no
305,305.0,56.0,technician,,secondary,no,205,no,yes,cellular,23,jul,,,-1,0.0,unknown,no
3657,,56.0,admin.,,secondary,no,3337,,no,telephone,17,nov,,,-1,0.0,unknown,no
168,,48.0,technician,married,tertiary,no,310,,no,unknown,6,may,,1.0,-1,0.0,unknown,no
4492,4492.0,32.0,technician,single,secondary,no,309,yes,yes,cellular,16,apr,346.0,1.0,234,3.0,failure,no
1962,1962.0,25.0,unemployed,single,tertiary,no,343,no,no,cellular,1,jun,377.0,1.0,-1,0.0,unknown,yes
4360,4360.0,33.0,management,married,tertiary,no,296,no,no,cellular,16,jul,90.0,2.0,-1,0.0,unknown,no
2245,2245.0,45.0,technician,married,secondary,no,115,yes,no,cellular,6,may,108.0,1.0,-1,0.0,unknown,no
1738,1738.0,44.0,management,divorced,tertiary,no,2058,no,yes,cellular,21,nov,661.0,1.0,-1,0.0,unknown,no
1995,1995.0,38.0,admin.,single,,no,-23,no,,cellular,20,nov,48.0,2.0,-1,0.0,unknown,
211,211.0,25.0,blue-collar,single,secondary,no,-350,yes,no,unknown,23,jun,95.0,3.0,-1,0.0,unknown,no
2662,2662.0,49.0,admin.,single,secondary,no,981,yes,no,telephone,21,nov,10.0,3.0,-1,0.0,unknown,no
84,84.0,37.0,management,married,tertiary,no,1315,no,no,cellular,30,jun,224.0,1.0,-1,0.0,unknown,yes
4482,4482.0,46.0,admin.,married,secondary,no,466,yes,no,cellular,29,jan,169.0,1.0,-1,0.0,unknown,no
1360,1360.0,31.0,technician,single,,no,1014,yes,,cellular,23,jul,158.0,4.0,-1,0.0,unknown,
915,915.0,33.0,management,married,,no,4040,yes,,cellular,20,apr,132.0,2.0,-1,0.0,unknown,
2499,2499.0,37.0,management,married,tertiary,no,5355,no,no,telephone,17,feb,466.0,4.0,-1,0.0,unknown,yes
3858,3858.0,37.0,admin.,married,secondary,no,-107,yes,no,unknown,28,may,158.0,2.0,-1,0.0,unknown,no
3344,,,blue-collar,single,,,395,,no,cellular,21,nov,,1.0,-1,0.0,unknown,no
2402,2402.0,56.0,management,married,primary,no,772,yes,no,telephone,20,nov,291.0,1.0,-1,0.0,unknown,no
1534,1534.0,,management,divorced,,,2171,yes,yes,telephone,18,nov,1034.0,1.0,-1,0.0,unknown,yes
2627,2627.0,33.0,technician,married,secondary,no,181,yes,yes,telephone,28,jul,265.0,2.0,-1,0.0,unknown,no
180,180.0,28.0,,single,tertiary,no,172,yes,yes,,2,feb,194.0,2.0,-1,,unknown,no
3599,3599.0,59.0,blue-collar,married,primary,no,2814,no,no,unknown,20,jun,81.0,3.0,-1,0.0,unknown,no
432,432.0,34.0,technician,single,tertiary,no,228,yes,no,cellular,22,jul,387.0,4.0,-1,0.0,unknown,no
289,289.0,34.0,admin.,married,tertiary,no,69,no,yes,cellular,4,aug,120.0,3.0,1,6.0,success,yes
3592,3592.0,39.0,services,married,secondary,no,0,yes,no,unknown,20,may,793.0,2.0,-1,0.0,unknown,no
3814,3814.0,40.0,admin.,single,secondary,no,263,yes,no,unknown,6,may,231.0,1.0,-1,0.0,unknown,no
2495,2495.0,38.0,self-employed,single,tertiary,no,917,yes,no,unknown,23,may,260.0,1.0,-1,0.0,unknown,no
2415,2415.0,42.0,management,married,tertiary,no,251,no,no,cellular,20,aug,413.0,2.0,-1,0.0,unknown,no
188,,36.0,technician,married,secondary,no,23,,no,cellular,8,may,,2.0,347,1.0,failure,no
2813,2813.0,47.0,technician,married,secondary,no,1990,yes,yes,cellular,25,aug,108.0,4.0,-1,0.0,unknown,no
1370,1370.0,53.0,technician,divorced,secondary,no,751,yes,no,unknown,16,may,343.0,4.0,-1,0.0,unknown,no
279,279.0,51.0,blue-collar,divorced,primary,no,37,yes,no,cellular,13,may,341.0,1.0,-1,0.0,unknown,no
366,366.0,38.0,technician,single,secondary,no,0,yes,no,cellular,7,apr,196.0,2.0,-1,0.0,unknown,no
2310,2310.0,57.0,management,married,tertiary,no,320,no,no,cellular,7,aug,76.0,2.0,-1,0.0,unknown,no
270,270.0,40.0,services,married,secondary,no,0,yes,no,cellular,2,jun,297.0,1.0,28,3.0,failure,no
3341,3341.0,,admin.,married,,,459,no,no,cellular,5,apr,558.0,1.0,-1,0.0,unknown,yes
4501,4501.0,34.0,management,,tertiary,no,297,yes,no,cellular,26,aug,,,-1,0.0,unknown,no
1419,1419.0,34.0,management,single,tertiary,no,1171,yes,no,cellular,10,jul,129.0,1.0,-1,0.0,unknown,no
871,871.0,31.0,housemaid,single,,no,26965,no,,cellular,21,apr,654.0,2.0,-1,0.0,unknown,
4300,4300.0,59.0,retired,married,primary,no,0,no,no,cellular,5,jun,493.0,2.0,-1,0.0,unknown,yes
1113,1113.0,50.0,technician,single,secondary,no,3897,no,no,cellular,26,oct,298.0,1.0,-1,0.0,unknown,no
367,367.0,,management,single,,,8436,yes,no,cellular,17,apr,245.0,1.0,149,2.0,failure,no
1718,1718.0,37.0,blue-collar,married,primary,no,704,no,no,unknown,18,jun,165.0,7.0,-1,0.0,unknown,no
220,220.0,53.0,retired,married,tertiary,no,-22,yes,no,cellular,31,jul,20.0,3.0,-1,0.0,unknown,no
4069,4069.0,45.0,services,divorced,secondary,no,-179,no,no,unknown,3,jul,155.0,2.0,-1,0.0,unknown,no
2218,2218.0,58.0,blue-collar,married,primary,no,0,yes,no,cellular,31,jul,5.0,25.0,-1,0.0,unknown,no
3207,,54.0,management,married,tertiary,no,2819,,no,cellular,7,aug,,3.0,-1,0.0,unknown,no
2441,2441.0,36.0,admin.,married,secondary,no,957,yes,no,unknown,21,may,206.0,1.0,-1,0.0,unknown,no
461,461.0,50.0,blue-collar,married,secondary,no,283,yes,no,cellular,7,aug,226.0,3.0,-1,0.0,unknown,no
4291,4291.0,36.0,services,married,secondary,no,895,yes,yes,unknown,4,jun,622.0,1.0,-1,0.0,unknown,no
551,551.0,34.0,technician,married,secondary,no,-228,yes,no,cellular,20,apr,187.0,3.0,332,3.0,other,no
2765,2765.0,53.0,retired,married,secondary,no,6095,yes,yes,cellular,14,may,410.0,5.0,-1,0.0,unknown,no
1309,,31.0,management,married,secondary,no,625,,no,cellular,7,apr,,1.0,138,1.0,failure,no
2978,2978.0,34.0,management,single,tertiary,no,178,yes,no,cellular,15,may,14.0,2.0,-1,0.0,unknown,no
2486,,50.0,unknown,married,unknown,no,558,,no,cellular,9,jul,,1.0,683,6.0,failure,yes
4058,4058.0,41.0,admin.,married,secondary,no,0,no,no,unknown,20,jun,89.0,1.0,-1,0.0,unknown,no
402,402.0,27.0,blue-collar,single,secondary,no,148,no,no,cellular,22,jul,203.0,1.0,-1,0.0,unknown,no
4353,4353.0,30.0,admin.,married,tertiary,no,400,yes,no,cellular,7,may,223.0,1.0,-1,0.0,unknown,no
1551,,33.0,blue-collar,married,primary,no,245,,yes,cellular,8,may,,3.0,-1,0.0,unknown,no
4311,4311.0,46.0,admin.,single,secondary,no,1790,yes,no,unknown,5,jun,214.0,5.0,-1,0.0,unknown,no
2550,,,management,married,,,251,,yes,unknown,6,jun,,3.0,-1,0.0,unknown,no
3409,3409.0,48.0,blue-collar,single,primary,no,316,no,no,unknown,5,jun,560.0,2.0,-1,0.0,unknown,no
1767,1767.0,,management,single,,,297,yes,no,cellular,15,may,415.0,4.0,375,1.0,failure,yes
790,790.0,34.0,management,single,tertiary,no,4348,yes,no,cellular,28,aug,373.0,8.0,-1,0.0,unknown,no
994,994.0,59.0,housemaid,married,primary,no,0,no,no,cellular,27,aug,76.0,11.0,-1,0.0,unknown,no
192,,30.0,management,single,tertiary,no,1372,,no,cellular,20,nov,,2.0,-1,0.0,unknown,no
3078,3078.0,36.0,blue-collar,married,secondary,no,1587,yes,no,cellular,28,jul,200.0,2.0,-1,0.0,unknown,no
2697,2697.0,25.0,management,single,tertiary,no,2506,no,no,cellular,17,feb,485.0,1.0,-1,0.0,unknown,yes
314,314.0,25.0,admin.,single,tertiary,no,760,yes,no,cellular,27,may,223.0,3.0,89,2.0,failure,yes
2226,2226.0,39.0,entrepreneur,married,tertiary,no,83,yes,no,cellular,11,jul,193.0,2.0,-1,0.0,unknown,no
2694,2694.0,39.0,management,married,tertiary,no,399,no,no,cellular,9,apr,504.0,1.0,-1,0.0,unknown,no
3209,3209.0,,services,married,,,60,no,yes,cellular,27,aug,151.0,8.0,-1,0.0,unknown,no
4402,4402.0,41.0,entrepreneur,married,primary,no,39,yes,no,cellular,21,nov,549.0,2.0,-1,0.0,unknown,yes
113,113.0,33.0,blue-collar,single,secondary,no,22,no,no,cellular,30,jan,76.0,2.0,207,1.0,failure,no
3610,3610.0,36.0,technician,divorced,secondary,no,-435,yes,no,unknown,2,jun,85.0,8.0,-1,0.0,unknown,no
1627,1627.0,31.0,blue-collar,married,secondary,no,897,yes,no,unknown,20,may,26.0,2.0,-1,0.0,unknown,no
4023,4023.0,43.0,unemployed,married,secondary,no,3529,no,no,cellular,5,feb,169.0,2.0,-1,0.0,unknown,no
1119,1119.0,28.0,management,single,tertiary,no,4937,yes,no,telephone,13,may,421.0,3.0,-1,0.0,unknown,no
705,705.0,35.0,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736.0,2.0,-1,0.0,unknown,yes
4452,4452.0,35.0,technician,married,secondary,no,2189,no,no,cellular,19,nov,256.0,3.0,-1,0.0,unknown,no
3559,3559.0,36.0,admin.,,secondary,no,319,yes,no,cellular,18,may,,,-1,0.0,unknown,no
1954,1954.0,49.0,retired,married,primary,no,-37,no,no,unknown,4,jul,191.0,2.0,-1,0.0,unknown,no
3704,3704.0,36.0,blue-collar,married,secondary,no,199,yes,no,cellular,9,jul,183.0,1.0,-1,0.0,unknown,no
2629,2629.0,56.0,unemployed,divorced,primary,no,1770,no,no,cellular,5,feb,916.0,3.0,-1,0.0,unknown,no
2456,2456.0,59.0,technician,married,primary,no,3163,yes,no,unknown,29,may,240.0,2.0,-1,0.0,unknown,no
4446,4446.0,22.0,student,single,secondary,no,246,yes,no,telephone,12,may,25.0,1.0,-1,0.0,unknown,no
2184,2184.0,32.0,management,married,tertiary,no,3107,yes,yes,cellular,25,jul,310.0,1.0,-1,0.0,unknown,no
1728,1728.0,36.0,blue-collar,married,unknown,no,6,no,no,unknown,20,jun,41.0,7.0,-1,0.0,unknown,no
2584,2584.0,31.0,management,married,tertiary,no,2395,no,no,cellular,27,apr,218.0,1.0,-1,0.0,unknown,no
1164,1164.0,40.0,,single,tertiary,no,2893,no,no,,2,jun,76.0,3.0,-1,,unknown,no
4357,4357.0,38.0,blue-collar,married,secondary,no,213,yes,no,unknown,16,jun,270.0,15.0,-1,0.0,unknown,no
1129,1129.0,36.0,management,single,tertiary,no,243,yes,no,cellular,7,may,160.0,2.0,360,3.0,failure,no
2266,2266.0,55.0,admin.,married,secondary,no,0,no,no,cellular,23,sep,180.0,2.0,238,3.0,success,no
3936,3936.0,34.0,management,married,tertiary,no,3050,yes,no,cellular,13,may,469.0,1.0,-1,0.0,unknown,yes
3085,3085.0,60.0,self-employed,single,secondary,no,27,no,no,cellular,22,aug,40.0,2.0,-1,0.0,unknown,no
4046,,39.0,self-employed,single,tertiary,no,3972,,no,cellular,30,jul,,3.0,-1,0.0,unknown,no
2355,2355.0,30.0,services,married,secondary,no,1286,yes,yes,cellular,17,jul,544.0,1.0,-1,0.0,unknown,no
2462,2462.0,30.0,services,married,tertiary,no,1380,yes,no,unknown,21,may,294.0,2.0,-1,0.0,unknown,no
450,450.0,35.0,technician,married,secondary,no,4508,yes,no,cellular,18,nov,854.0,1.0,-1,0.0,unknown,yes
4495,4495.0,48.0,management,married,tertiary,no,1175,yes,no,telephone,18,nov,1476.0,3.0,-1,0.0,unknown,no
4249,4249.0,35.0,admin.,married,tertiary,no,1145,yes,no,cellular,2,feb,82.0,2.0,-1,0.0,unknown,no
4330,4330.0,40.0,management,single,tertiary,no,36,yes,no,unknown,27,may,240.0,3.0,-1,0.0,unknown,no
602,602.0,50.0,blue-collar,married,primary,no,12519,yes,no,cellular,17,apr,146.0,2.0,147,4.0,success,no
3425,3425.0,26.0,management,single,tertiary,no,1177,no,no,cellular,19,oct,116.0,1.0,-1,0.0,unknown,no
3003,3003.0,33.0,management,single,tertiary,no,23,no,no,cellular,20,aug,216.0,3.0,-1,0.0,unknown,no
4148,4148.0,55.0,entrepreneur,divorced,secondary,no,538,yes,no,cellular,7,aug,353.0,2.0,-1,0.0,unknown,yes
1210,,60.0,admin.,divorced,secondary,no,174,,no,cellular,15,may,,1.0,364,1.0,failure,no
1988,1988.0,56.0,admin.,divorced,secondary,no,985,no,yes,cellular,18,aug,150.0,2.0,-1,0.0,unknown,no
254,254.0,46.0,blue-collar,married,primary,no,222,no,no,cellular,8,aug,71.0,2.0,-1,0.0,unknown,no
4268,4268.0,39.0,services,married,secondary,no,0,yes,no,cellular,8,may,503.0,1.0,-1,0.0,unknown,no
511,511.0,32.0,management,married,tertiary,no,820,yes,no,cellular,17,jul,738.0,3.0,-1,0.0,unknown,no
1157,1157.0,55.0,blue-collar,married,,no,23,no,,cellular,13,aug,123.0,2.0,-1,0.0,unknown,
2478,2478.0,50.0,admin.,divorced,secondary,no,769,no,no,cellular,28,jul,72.0,2.0,363,4.0,failure,no
73,73.0,41.0,services,married,tertiary,no,412,yes,no,unknown,3,jun,154.0,5.0,-1,0.0,unknown,no
1618,,50.0,blue-collar,married,primary,no,8139,,no,cellular,18,aug,,6.0,-1,0.0,unknown,no
2097,2097.0,52.0,management,divorced,tertiary,no,50,yes,no,unknown,12,jun,84.0,3.0,-1,0.0,unknown,no
896,896.0,,technician,single,,,25,no,no,cellular,2,feb,381.0,1.0,-1,0.0,unknown,no
2493,2493.0,31.0,technician,,secondary,no,40,no,no,cellular,7,aug,,,-1,0.0,unknown,no
1056,1056.0,63.0,entrepreneur,married,secondary,no,3904,no,no,telephone,4,aug,250.0,2.0,187,2.0,success,yes
599,599.0,43.0,technician,divorced,secondary,no,1413,yes,no,telephone,28,jul,75.0,3.0,-1,0.0,unknown,no
2585,2585.0,60.0,management,married,primary,no,4895,no,no,unknown,9,jun,313.0,1.0,-1,0.0,unknown,no
4217,4217.0,38.0,unemployed,married,tertiary,no,2812,yes,no,cellular,30,apr,830.0,1.0,-1,0.0,unknown,yes
3168,3168.0,59.0,admin.,married,secondary,no,2381,no,no,cellular,30,apr,173.0,2.0,-1,0.0,unknown,no
3705,3705.0,43.0,management,married,tertiary,no,489,yes,no,cellular,8,may,130.0,1.0,172,2.0,other,no
426,426.0,,blue-collar,married,,,973,yes,yes,unknown,23,may,293.0,1.0,-1,0.0,unknown,no
1512,1512.0,27.0,admin.,single,secondary,no,3638,no,no,cellular,11,jul,271.0,5.0,-1,0.0,unknown,no
494,494.0,44.0,technician,single,secondary,no,244,yes,no,cellular,12,aug,1735.0,4.0,-1,0.0,unknown,yes
351,351.0,35.0,management,married,tertiary,yes,32,yes,no,cellular,21,nov,180.0,1.0,-1,0.0,unknown,no
2575,,,blue-collar,married,,,827,,no,unknown,15,may,,5.0,-1,0.0,unknown,no
3093,3093.0,53.0,entrepreneur,,tertiary,no,71,no,yes,cellular,29,jan,,,-1,0.0,unknown,no
862,862.0,41.0,admin.,single,secondary,no,1020,yes,no,unknown,19,may,882.0,1.0,-1,0.0,unknown,yes
1180,1180.0,31.0,technician,married,tertiary,no,636,yes,no,cellular,4,may,352.0,4.0,-1,0.0,unknown,yes
1606,1606.0,,blue-collar,single,,,4684,no,no,unknown,20,jun,30.0,6.0,-1,0.0,unknown,no
1580,1580.0,38.0,blue-collar,married,,no,0,yes,,unknown,3,jun,179.0,2.0,-1,0.0,unknown,
3810,,,blue-collar,married,,,3658,,no,unknown,14,may,,1.0,-1,0.0,unknown,no
3669,3669.0,42.0,admin.,single,secondary,no,30,yes,no,cellular,4,feb,98.0,1.0,266,3.0,failure,no
2452,2452.0,42.0,management,divorced,tertiary,no,401,yes,no,cellular,24,jul,217.0,9.0,-1,0.0,unknown,no
4428,4428.0,48.0,blue-collar,married,unknown,no,439,yes,no,cellular,2,feb,212.0,1.0,249,2.0,other,no
2844,2844.0,46.0,admin.,married,secondary,no,120,yes,no,unknown,14,may,20.0,11.0,-1,0.0,unknown,no
2990,2990.0,56.0,blue-collar,married,primary,no,828,yes,no,cellular,14,may,214.0,1.0,349,1.0,failure,no
787,787.0,50.0,blue-collar,married,primary,no,3924,yes,no,cellular,20,apr,122.0,2.0,-1,0.0,unknown,no
